Job_Title,Average_Salary,Years_Experience,Education_Level,AI_Exposure_Index,Tech_Growth_Factor,Automation_Probability_2030,Risk_Category,Skill_1,Skill_2,Skill_3,Skill_4,Skill_5,Skill_6,Skill_7,Skill_8,Skill_9,Skill_10
Security Guard,43986,27,Master's,0.0,0.59,0.74,High,0.85,0.29,0.46,0.95,0.18,0.38,0.66,0.58,0.05,0.65
Research Scientist,106091,18,Master's,0.61,1.4,0.17,Low,0.15,0.85,0.92,0.11,0.53,0.34,0.6,0.63,0.71,0.56
Construction Worker,52112,0,High School,0.0,0.66,0.81,High,0.85,0.18,0.51,0.56,0.15,0.31,0.68,0.14,0.14,0.77
Software Engineer,138316,14,PhD,0.77,1.37,0.23,Low,0.24,1.0,0.9,0.19,0.58,0.28,0.32,0.4,0.57,0.72
Financial Analyst,93254,20,Bachelor's,0.58,1.16,0.19,Medium,0.57,0.82,0.69,0.57,0.45,0.33,0.15,1.0,0.43,0.32
AI Engineer,158386,10,PhD,0.96,1.36,0.27,Low,0.23,0.86,0.83,0.26,0.7,0.39,0.12,0.47,0.83,0.9
Mechanic,52025,22,High School,0.26,0.85,0.7,Medium,0.55,0.38,0.59,0.48,0.38,0.54,0.89,0.3,0.34,0.64
Teacher,59404,10,Master's,0.47,0.97,0.16,Medium,0.34,0.75,0.6,0.66,0.44,0.98,0.31,0.37,0.61,0.6
HR Specialist,63066,10,Master's,0.61,1.02,0.5,Medium,0.38,0.64,0.75,0.45,0.62,0.75,0.29,0.73,0.35,0.65
Customer Support,42224,4,Bachelor's,0.36,0.91,0.54,High,0.71,0.6,0.33,0.77,0.26,0.65,0.23,0.63,0.2,0.48
UX Researcher,100930,4,PhD,0.7,1.27,0.47,Low,0.06,0.76,0.77,0.22,0.58,0.84,0.49,0.52,0.83,0.69
Financial Analyst,91312,19,Master's,0.61,1.15,0.49,Medium,0.31,0.8,0.71,0.85,0.58,0.43,0.2,0.78,0.51,0.58
Lawyer,130977,28,PhD,0.6,1.2,0.29,Low,0.38,0.51,1.0,0.26,0.86,0.92,0.1,0.64,0.51,0.75
Data Scientist,109483,11,Bachelor's,0.81,1.46,0.29,Medium,0.14,0.91,0.79,0.35,0.51,0.55,0.12,0.77,0.68,0.58
Research Scientist,111216,20,PhD,0.52,1.29,0.05,Low,0.22,1.0,0.74,0.32,0.73,0.48,0.58,0.47,0.85,0.73
Graphic Designer,52374,6,Bachelor's,0.71,1.3,0.38,Medium,0.23,0.83,0.53,0.32,0.43,0.53,0.79,0.25,0.78,0.67
Teacher,72592,29,Bachelor's,0.25,1.0,0.12,Low,0.2,0.68,0.72,0.42,0.8,0.94,0.38,0.59,0.58,0.72
Teacher,54198,14,PhD,0.4,1.03,0.05,Low,0.21,0.52,0.59,0.53,0.73,0.98,0.3,0.55,0.57,1.0
Retail Worker,38758,0,Bachelor's,0.37,0.68,0.8,High,0.86,0.31,0.19,0.85,0.18,0.67,0.45,0.49,0.12,0.35
Doctor,224532,13,PhD,0.43,1.14,0.27,Low,0.16,0.79,0.92,0.08,0.82,0.94,0.81,0.42,0.51,0.79
AI Engineer,168498,1,Master's,0.93,1.5,0.22,Low,0.24,0.96,1.0,0.31,0.46,0.21,0.25,0.55,0.85,1.0
HR Specialist,69938,22,Bachelor's,0.56,1.04,0.43,Medium,0.46,0.71,0.7,0.57,0.67,0.88,0.12,0.68,0.35,0.61
